Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1000),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),Unit Price (@ Batch Size: 1000),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [null],SKU [null],Packaging [null],Unit Price (@ Batch Size: 1000) [null],Line Total [null],Batch Total [null],In Stock [null],MOQ [null],URL [null],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,
4,LTST-C150KRKT,Lite-On,LTST-C150KRKT,https://octopart.com/ltst-c150krkt-lite-on-549869,"ACT, CONN, U0, U1",,LED SM 1206 RED 2V FWD VOLTAGE,4000,160-1405-2-ND,LTST-C150KRKT,,Tape & Reel,,,0.0820881216,0.141088959,,12000,65917,,3000,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0ad18be&sid=459&ppid=549869&vpid=1226628&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0428a82&sid=2401&ppid=549869&vpid=37630435&ct=offers,,Schukat,LTST-C150KRKT,,0.06120286828275979,0.24481147313103915,244.81147313103915,45500,100,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0fd246d&sid=15176&ppid=549869&vpid=76832219&ct=offers,
2,GRM1885C1H120JA01D,Murata,GRM1885C1H120JA01D,https://octopart.com/grm1885c1h120ja01d-murata-196123,"C1, C3",,CAP SM 0603 NP0 12pF 10%,2000,490-1405-1-ND,GRM1885C1H120JA01D,,Cut Tape,,,0.014536438200000001,0.019951974,,117729,115102,,1,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=02d5fe5&sid=459&ppid=196123&vpid=1526043&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0e17f2e&sid=2401&ppid=196123&vpid=37772948&ct=offers,,Future Electronics,GRM1885C1H120JA01D,,0.005700564,0.011401128,11.401128,37,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0c0e2ad&sid=2454&ppid=196123&vpid=15689359&ct=offers,
2,GRM21BR71A475KA73L,Murata,GRM21BR71A475KA73L,https://octopart.com/grm21br71a475ka73l-murata-7158180,"C2, C13",,CAP SM 0805 X7R 4.7uF 10%,2000,490-6480-1-ND,GRM21BR71A475KA73L,13T1201,Cut Tape,,,0.13168302839999999,0.27077679,0.21519629099999998,8553,38805,3250,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=046de1b&sid=459&ppid=7158180&vpid=64141206&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0564610&sid=2401&ppid=7158180&vpid=37675431&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0db67b0&sid=2402&ppid=7158180&vpid=33412393&ct=offers,Chip One Stop,MURA-0093961,Cut Tape,0.1056029481,0.2112058962,211.20589619999998,30830,25,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=08413bf&sid=13512&ppid=7158180&vpid=46925887&ct=offers,
1,GRM188R60J106ME47D,Murata,GRM188R60J106ME47D,https://octopart.com/grm188r60j106me47d-murata-197448,C4,,CAP SM 0603 X5R 10uF 10%,1000,490-3896-1-ND,GRM188R60J106ME47D,24R6334,Cut Tape,,,0.056335823730000005,0.095484447,0.31353102,2644254,608114,2101,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0f059fe&sid=459&ppid=197448&vpid=1659623&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0e22430&sid=2401&ppid=197448&vpid=38925198&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=013d28d&sid=2402&ppid=197448&vpid=200361422&ct=offers,Freelance Electronics,GRM188R60J106ME47D,,0.01425141,0.01425141,14.251410000000002,1695,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0dbb0f9&sid=13062&ppid=197448&vpid=113380426&ct=offers,
7,GRM188R71H104KA93D,Murata,GRM188R71H104KA93D,https://octopart.com/grm188r71h104ka93d-murata-196234,"C5, C7, C8, C9, C10, C11, C12",,CAP SM 0603 X7R 100nF 10%,7000,490-1519-2-ND,GRM188R71H104KA93D,38K1670,Tape & Reel,,,0.01081682019,0.018526833,0.02850282,4379972,775518,3050,4000,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=08e69ef&sid=459&ppid=196234&vpid=1994758&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0431973&sid=2401&ppid=196234&vpid=37740690&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0eda761&sid=2402&ppid=196234&vpid=200361518&ct=offers,Rutronik,KKK15564,,0.005943120630615358,0.041601844414307504,41.60184441430751,0,4000,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0ddd4b8&sid=18993&ppid=196234&vpid=87913096&ct=offers,
2,GRM188R71A105KA61D,Murata,GRM188R71A105KA61D,https://octopart.com/grm188r71a105ka61d-murata-197451,"C6, C14",,CAP SM 0603 X7R 1uF 10%,2000,490-3899-1-ND,GRM188R71A105KA61D,13T1196,Cut Tape,,,0.07631630055,0.145364382,0.129687831,99165,58579,1355,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=041184c&sid=459&ppid=197451&vpid=1554183&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=09fd0d4&sid=2401&ppid=197451&vpid=37716715&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0608388&sid=2402&ppid=197451&vpid=200361474&ct=offers,Bristol Electronics,GRM188R71A105KA61D,,0.06413134499999999,0.12826268999999998,128.26269,2065,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=06eab94&sid=8821&ppid=197451&vpid=82061815&ct=offers,
1,SP0505BAHTG,Littelfuse,SP0505BAHTG,https://octopart.com/sp0505bahtg-littelfuse-347744,D1,,IC DIODE TRANS VOLT SUPPR 5 PACKAGE,1000,F2716CT-ND,SP0505BAHTG,92K8963,Cut Tape,,,0.6008394455999999,0.8337074849999999,0.517326183,6799,5940,1426,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=065fa75&sid=459&ppid=347744&vpid=1988206&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=042a6da&sid=2401&ppid=347744&vpid=37754759&ct=offers,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=05cc8e8&sid=2402&ppid=347744&vpid=200273705&ct=offers,Newark,92K8963,,0.517326183,0.517326183,517.326183,1426,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=05cc8e8&sid=2402&ppid=347744&vpid=200273705&ct=offers,
1,FTSH-105-01-L-DV-K,Samtec,FTSH-105-01-L-DV-K,https://octopart.com/ftsh-105-01-l-dv-k-samtec-8443669,DBG1,,"CONN HDR SM FTSH-105 10POS DUAL .05""",1000,FTSH-105-01-L-DV-K-ND,,02M8557,Tube,,,4.63170825,,1.7386720199999999,0,,2289,1,,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0d0c2c6&sid=459&ppid=8443669&vpid=33734470&ct=offers,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0f397f4&sid=2402&ppid=8443669&vpid=200506679&ct=offers,Newark,02M8557,,1.7386720199999999,1.7386720199999999,1738.67202,2289,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0f397f4&sid=2402&ppid=8443669&vpid=200506679&ct=offers,
1,SPC20503,Multicomp,SPC20503,https://octopart.com/spc20503-multicomp-22002488,EXP,,"Header, 10-Pin, Dual row",1000,,,93K5756,,,,,,0.475997094,,,568,,,1,,,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0597b4f&sid=2402&ppid=22002488&vpid=200356495&ct=offers,Newark,93K5756,,0.475997094,0.475997094,475.997094,568,1,https://octopart-clicks.com/click/track?country=NZ&ak=ec9249f5&sig=0597b4f&sid=2402&ppid=22002488&vpid=200356495&ct=offers,
